date,restaurant_id,restaurant_name,day_of_week,is_weekend,is_holiday,promo_flag,rain_index,customer_count,avg_ticket_vnd,raw_material_kg,revenue_vnd
2025-04-04,S01,Pho Sunrise,4,0,0,0,0.0,245,83441.0,101.09,20442923.0
2025-04-05,S01,Pho Sunrise,5,1,0,0,0.601,238,86182.0,97.52,20511366.0
2025-04-06,S01,Pho Sunrise,6,1,0,0,0.417,269,83847.0,120.19,22554714.0
2025-04-07,S01,Pho Sunrise,0,0,0,0,0.381,272,85758.0,124.06,23326304.0
2025-04-08,S01,Pho Sunrise,1,0,0,0,0.496,233,84421.0,93.28,19670003.0
2025-04-09,S01,Pho Sunrise,2,0,0,0,0.21,257,88690.0,110.31,22793324.0
2025-04-10,S01,Pho Sunrise,3,0,0,0,0.471,231,88181.0,86.36,20369779.0
2025-04-11,S01,Pho Sunrise,4,0,0,1,0.0,287,89637.0,127.01,25725857.0
2025-04-12,S01,Pho Sunrise,5,1,0,0,0.079,243,83152.0,116.88,20205964.0
2025-04-13,S01,Pho Sunrise,6,1,0,0,0.268,276,79693.0,113.85,21995197.0
2025-04-14,S01,Pho Sunrise,0,0,0,0,0.363,250,86172.0,109.21,21542948.0
2025-04-15,S01,Pho Sunrise,1,0,0,0,0.56,251,81701.0,99.81,20507074.0
2025-04-16,S01,Pho Sunrise,2,0,0,0,0.342,259,83495.0,118.28,21625303.0
2025-04-17,S01,Pho Sunrise,3,0,0,0,0.432,256,83770.0,101.45,21445115.0
2025-04-18,S01,Pho Sunrise,4,0,0,0,0.47,215,87167.0,87.38,18740991.0
2025-04-19,S01,Pho Sunrise,5,1,0,0,0.0,275,79266.0,109.77,21798152.0
2025-04-20,S01,Pho Sunrise,6,1,0,0,0.344,261,84459.0,110.96,22043739.0
2025-04-21,S01,Pho Sunrise,0,0,0,0,0.521,240,86309.0,104.17,20714191.0
2025-04-22,S01,Pho Sunrise,1,0,0,0,0.787,216,83956.0,86.62,18134478.0
2025-04-23,S01,Pho Sunrise,2,0,0,0,0.131,240,84760.0,102.82,20342325.0
2025-04-24,S01,Pho Sunrise,3,0,0,0,0.227,257,87514.0,106.91,22491099.0
2025-04-25,S01,Pho Sunrise,4,0,0,0,0.49,234,80076.0,97.88,18737870.0
2025-04-26,S01,Pho Sunrise,5,1,0,0,0.2,274,80054.0,124.31,21934687.0
2025-04-27,S01,Pho Sunrise,6,1,0,0,0.329,268,76806.0,104.75,20584079.0
2025-04-28,S01,Pho Sunrise,0,0,0,0,0.166,257,91791.0,100.32,23590238.0
2025-04-29,S01,Pho Sunrise,1,0,0,0,0.427,254,80844.0,108.27,20534358.0
2025-04-30,S01,Pho Sunrise,2,0,1,0,0.05,325,83560.0,132.24,27156915.0
2025-05-01,S01,Pho Sunrise,3,0,1,0,0.428,293,86752.0,118.8,25418452.0
2025-05-02,S01,Pho Sunrise,4,0,0,1,0.254,277,86840.0,121.67,24054638.0
2025-05-03,S01,Pho Sunrise,5,1,0,1,0.043,334,81483.0,142.26,27215440.0
2025-05-04,S01,Pho Sunrise,6,1,0,0,0.469,243,80639.0,106.43,19595287.0
2025-05-05,S01,Pho Sunrise,0,0,0,1,0.257,302,83502.0,127.08,25217538.0
2025-05-06,S01,Pho Sunrise,1,0,0,0,0.256,246,83186.0,100.77,20463820.0
2025-05-07,S01,Pho Sunrise,2,0,0,0,0.172,213,90477.0,103.14,19271641.0
2025-05-08,S01,Pho Sunrise,3,0,0,0,0.0,248,84027.0,102.97,20838657.0
2025-05-09,S01,Pho Sunrise,4,0,0,0,0.496,233,79919.0,101.97,18621132.0
2025-05-10,S01,Pho Sunrise,5,1,0,0,0.414,249,84517.0,108.44,21044780.0
2025-05-11,S01,Pho Sunrise,6,1,0,0,0.126,247,85559.0,101.31,21133055.0
2025-05-12,S01,Pho Sunrise,0,0,0,0,0.345,254,81247.0,110.44,20636810.0
2025-05-13,S01,Pho Sunrise,1,0,0,1,0.206,284,89123.0,116.96,25310808.0
2025-05-14,S01,Pho Sunrise,2,0,0,0,0.376,219,83836.0,91.53,18360093.0
2025-05-15,S01,Pho Sunrise,3,0,0,0,0.057,251,83223.0,89.2,20888912.0
2025-05-16,S01,Pho Sunrise,4,0,0,0,0.434,217,80523.0,95.71,17473443.0
2025-05-17,S01,Pho Sunrise,5,1,0,0,0.857,230,86318.0,95.63,19853184.0
2025-05-18,S01,Pho Sunrise,6,1,0,0,0.505,259,83228.0,105.94,21555923.0
2025-05-19,S01,Pho Sunrise,0,0,0,0,0.538,238,83440.0,97.41,19858706.0
2025-05-20,S01,Pho Sunrise,1,0,0,0,0.331,240,77344.0,95.8,18562550.0
2025-05-21,S01,Pho Sunrise,2,0,0,1,0.0,276,81888.0,114.52,22601218.0
2025-05-22,S01,Pho Sunrise,3,0,0,0,0.331,214,84806.0,95.54,18148560.0
2025-05-23,S01,Pho Sunrise,4,0,0,0,0.198,240,84247.0,104.72,20219227.0
2025-05-24,S01,Pho Sunrise,5,1,0,1,0.52,268,84959.0,111.14,22768988.0
2025-05-25,S01,Pho Sunrise,6,1,0,0,0.067,270,83807.0,106.44,22627826.0
2025-05-26,S01,Pho Sunrise,0,0,0,0,0.606,182,79911.0,72.21,14543880.0
2025-05-27,S01,Pho Sunrise,1,0,0,0,0.437,228,81123.0,89.33,18496147.0
2025-05-28,S01,Pho Sunrise,2,0,0,0,0.392,227,84362.0,96.93,19150156.0
2025-05-29,S01,Pho Sunrise,3,0,0,1,0.536,260,79492.0,94.48,20668033.0
2025-05-30,S01,Pho Sunrise,4,0,0,0,0.618,195,78677.0,82.39,15341929.0
2025-05-31,S01,Pho Sunrise,5,1,0,0,0.74,228,83736.0,90.63,19091845.0
2025-06-01,S01,Pho Sunrise,6,1,0,0,0.32,229,91966.0,106.48,21060161.0
2025-06-02,S01,Pho Sunrise,0,0,0,0,0.196,236,87175.0,101.75,20573236.0
2025-06-03,S01,Pho Sunrise,1,0,0,0,0.507,219,87165.0,93.86,19089240.0
2025-06-04,S01,Pho Sunrise,2,0,0,0,0.397,207,80649.0,95.71,16694248.0
2025-06-05,S01,Pho Sunrise,3,0,0,0,0.652,204,89592.0,85.74,18276794.0
2025-06-06,S01,Pho Sunrise,4,0,0,0,0.161,228,85205.0,88.28,19426811.0
2025-06-07,S01,Pho Sunrise,5,1,0,1,0.364,299,88040.0,125.67,26324057.0
2025-06-08,S01,Pho Sunrise,6,1,0,0,0.389,229,81320.0,95.31,18622222.0
2025-06-09,S01,Pho Sunrise,0,0,0,1,0.13,268,86330.0,100.49,23136520.0
2025-06-10,S01,Pho Sunrise,1,0,0,1,0.579,250,88488.0,105.25,22121961.0
2025-06-11,S01,Pho Sunrise,2,0,0,0,0.163,223,86290.0,100.89,19242570.0
2025-06-12,S01,Pho Sunrise,3,0,0,0,0.354,193,83915.0,82.12,16195602.0
2025-06-13,S01,Pho Sunrise,4,0,0,1,0.264,253,83287.0,102.26,21071496.0
2025-06-14,S01,Pho Sunrise,5,1,0,0,0.3,233,85929.0,91.17,20021432.0
2025-06-15,S01,Pho Sunrise,6,1,0,0,0.668,197,77803.0,73.5,15327265.0
2025-06-16,S01,Pho Sunrise,0,0,0,0,0.386,202,89128.0,71.23,18003906.0
2025-06-17,S01,Pho Sunrise,1,0,0,0,0.692,175,83709.0,70.18,14649015.0
2025-06-18,S01,Pho Sunrise,2,0,0,0,0.315,223,91247.0,91.77,20348107.0
2025-06-19,S01,Pho Sunrise,3,0,0,0,0.387,223,84683.0,94.4,18884261.0
2025-06-20,S01,Pho Sunrise,4,0,0,0,1.0,184,82595.0,81.77,15197535.0
2025-06-21,S01,Pho Sunrise,5,1,0,0,0.282,235,85106.0,100.35,19999837.0
2025-06-22,S01,Pho Sunrise,6,1,0,0,0.447,220,78414.0,96.1,17251149.0
2025-06-23,S01,Pho Sunrise,0,0,0,0,0.092,209,85286.0,84.13,17824677.0
2025-06-24,S01,Pho Sunrise,1,0,0,0,0.112,202,83011.0,84.6,16768308.0
2025-06-25,S01,Pho Sunrise,2,0,0,1,0.178,249,85214.0,92.71,21218338.0
2025-06-26,S01,Pho Sunrise,3,0,0,1,0.378,226,84648.0,94.76,19130532.0
2025-06-27,S01,Pho Sunrise,4,0,0,0,0.57,171,81015.0,67.11,13853616.0
2025-06-28,S01,Pho Sunrise,5,1,0,0,0.629,194,76494.0,73.15,14839879.0
2025-06-29,S01,Pho Sunrise,6,1,0,0,0.268,210,85131.0,86.55,17877547.0
2025-06-30,S01,Pho Sunrise,0,0,0,0,0.245,185,86628.0,70.54,16026213.0
2025-07-01,S01,Pho Sunrise,1,0,0,0,0.401,186,90400.0,75.2,16814426.0
2025-07-02,S01,Pho Sunrise,2,0,0,0,0.335,174,85238.0,68.36,14831364.0
2025-07-03,S01,Pho Sunrise,3,0,0,0,0.459,191,82885.0,84.97,15830964.0
2025-07-04,S01,Pho Sunrise,4,0,0,0,0.667,181,89636.0,67.44,16224054.0
2025-07-05,S01,Pho Sunrise,5,1,0,0,0.207,213,83057.0,88.57,17691156.0
2025-07-06,S01,Pho Sunrise,6,1,0,0,0.346,209,84210.0,88.18,17599949.0
2025-07-07,S01,Pho Sunrise,0,0,0,0,0.47,194,90601.0,82.99,17576621.0
2025-07-08,S01,Pho Sunrise,1,0,0,0,0.15,190,88197.0,83.95,16757427.0
2025-07-09,S01,Pho Sunrise,2,0,0,0,0.557,180,89081.0,76.91,16034587.0
2025-07-10,S01,Pho Sunrise,3,0,0,0,0.447,140,86302.0,45.93,12082254.0
2025-07-11,S01,Pho Sunrise,4,0,0,0,0.47,181,81048.0,72.77,14669641.0
2025-07-12,S01,Pho Sunrise,5,1,0,0,0.283,228,84993.0,98.1,19378512.0
2025-07-13,S01,Pho Sunrise,6,1,0,0,0.406,181,84627.0,75.86,15317474.0
2025-07-14,S01,Pho Sunrise,0,0,0,0,0.329,168,88143.0,70.71,14807993.0
2025-07-15,S01,Pho Sunrise,1,0,0,0,0.359,179,87097.0,70.67,15590393.0
2025-07-16,S01,Pho Sunrise,2,0,0,0,0.601,160,80183.0,68.99,12829238.0
2025-07-17,S01,Pho Sunrise,3,0,0,0,0.074,187,87501.0,80.3,16362684.0
2025-07-18,S01,Pho Sunrise,4,0,0,1,0.099,219,83971.0,89.32,18389669.0
2025-07-19,S01,Pho Sunrise,5,1,0,0,0.676,199,89470.0,83.03,17804599.0
2025-07-20,S01,Pho Sunrise,6,1,0,0,0.533,182,85445.0,80.22,15550917.0
2025-07-21,S01,Pho Sunrise,0,0,0,0,0.234,169,87155.0,70.99,14729245.0
2025-07-22,S01,Pho Sunrise,1,0,0,1,0.514,188,87571.0,80.75,16463394.0
2025-07-23,S01,Pho Sunrise,2,0,0,0,0.668,150,79373.0,59.05,11905901.0
2025-07-24,S01,Pho Sunrise,3,0,0,0,0.39,162,83855.0,70.57,13584473.0
2025-07-25,S01,Pho Sunrise,4,0,0,0,0.443,168,87095.0,61.64,14631936.0
2025-07-26,S01,Pho Sunrise,5,1,0,0,0.0,196,84984.0,87.48,16656913.0
2025-07-27,S01,Pho Sunrise,6,1,0,0,0.421,172,86650.0,69.95,14903722.0
2025-07-28,S01,Pho Sunrise,0,0,0,0,0.577,148,87739.0,64.69,12985417.0
2025-07-29,S01,Pho Sunrise,1,0,0,0,0.575,163,85347.0,65.33,13911487.0
2025-07-30,S01,Pho Sunrise,2,0,0,0,0.272,171,81751.0,73.71,13979400.0
2025-07-31,S01,Pho Sunrise,3,0,0,0,0.339,162,93313.0,62.42,15116778.0
2025-08-01,S01,Pho Sunrise,4,0,0,0,0.41,163,85402.0,70.29,13920588.0
2025-08-02,S01,Pho Sunrise,5,1,0,0,0.671,157,88850.0,63.39,13949387.0
2025-08-03,S01,Pho Sunrise,6,1,0,1,0.166,219,89913.0,91.55,19691041.0
2025-08-04,S01,Pho Sunrise,0,0,0,0,0.157,160,79584.0,63.52,12733520.0
2025-08-05,S01,Pho Sunrise,1,0,0,0,0.644,181,83006.0,82.57,15024016.0
2025-08-06,S01,Pho Sunrise,2,0,0,1,0.35,188,85211.0,79.48,16019577.0
2025-08-07,S01,Pho Sunrise,3,0,0,0,0.1,143,87221.0,59.06,12472608.0
2025-08-08,S01,Pho Sunrise,4,0,0,0,0.382,162,85613.0,65.36,13869344.0
2025-08-09,S01,Pho Sunrise,5,1,0,0,0.367,187,86681.0,83.13,16209439.0
2025-08-10,S01,Pho Sunrise,6,1,0,0,0.606,165,87034.0,71.46,14360673.0
2025-08-11,S01,Pho Sunrise,0,0,0,0,0.52,128,82298.0,57.96,10534190.0
2025-08-12,S01,Pho Sunrise,1,0,0,0,0.677,136,81082.0,56.3,11027200.0
2025-08-13,S01,Pho Sunrise,2,0,0,0,0.396,162,83772.0,69.48,13571012.0
2025-08-14,S01,Pho Sunrise,3,0,0,1,0.47,171,82451.0,70.8,14099059.0
2025-08-15,S01,Pho Sunrise,4,0,0,1,0.326,197,84665.0,81.53,16679061.0
2025-08-16,S01,Pho Sunrise,5,1,0,0,0.201,163,82668.0,74.14,13474900.0
2025-08-17,S01,Pho Sunrise,6,1,0,0,0.638,152,85127.0,63.5,12939239.0
2025-08-18,S01,Pho Sunrise,0,0,0,0,0.724,105,78195.0,42.66,8210448.0
2025-08-19,S01,Pho Sunrise,1,0,0,0,0.518,145,83694.0,64.62,12135567.0
2025-08-20,S01,Pho Sunrise,2,0,0,0,0.417,154,85927.0,62.5,13232757.0
2025-08-21,S01,Pho Sunrise,3,0,0,0,0.402,142,90008.0,50.87,12781142.0
2025-08-22,S01,Pho Sunrise,4,0,0,0,0.143,144,84134.0,55.01,12115344.0
2025-08-23,S01,Pho Sunrise,5,1,0,0,0.208,192,91126.0,78.65,17496177.0
2025-08-24,S01,Pho Sunrise,6,1,0,1,0.15,167,84603.0,65.94,14128635.0
2025-08-25,S01,Pho Sunrise,0,0,0,0,0.06,140,85505.0,60.09,11970746.0
2025-08-26,S01,Pho Sunrise,1,0,0,0,0.116,158,82279.0,68.88,13000126.0
2025-08-27,S01,Pho Sunrise,2,0,0,1,0.105,169,86242.0,73.59,14574938.0
2025-08-28,S01,Pho Sunrise,3,0,0,0,0.686,142,84127.0,62.32,11946087.0
2025-08-29,S01,Pho Sunrise,4,0,0,0,0.772,110,81850.0,50.32,9003477.0
2025-08-30,S01,Pho Sunrise,5,1,0,1,0.115,182,86429.0,75.97,15730036.0
2025-08-31,S01,Pho Sunrise,6,1,0,0,0.245,145,82010.0,69.24,11891402.0
2025-09-01,S01,Pho Sunrise,0,0,0,0,0.557,124,84368.0,49.85,10461601.0
2025-09-02,S01,Pho Sunrise,1,0,1,1,0.104,206,77351.0,80.31,15934251.0
2025-09-03,S01,Pho Sunrise,2,0,0,0,0.371,151,86397.0,66.4,13045998.0
2025-09-04,S01,Pho Sunrise,3,0,0,1,0.485,164,83039.0,71.19,13618461.0
2025-09-05,S01,Pho Sunrise,4,0,0,0,0.27,123,80974.0,51.93,9959798.0
2025-09-06,S01,Pho Sunrise,5,1,0,0,0.221,152,86940.0,66.21,13214854.0
2025-09-07,S01,Pho Sunrise,6,1,0,1,0.635,151,90724.0,61.4,13699353.0
2025-09-08,S01,Pho Sunrise,0,0,0,0,0.394,127,78854.0,52.79,10014436.0
2025-09-09,S01,Pho Sunrise,1,0,0,0,0.573,146,82291.0,62.43,12014413.0
2025-09-10,S01,Pho Sunrise,2,0,0,0,0.254,145,84869.0,67.26,12306001.0
2025-09-11,S01,Pho Sunrise,3,0,0,0,0.58,127,87706.0,51.91,11138617.0
2025-09-12,S01,Pho Sunrise,4,0,0,0,0.357,121,87251.0,52.8,10557380.0
2025-09-13,S01,Pho Sunrise,5,1,0,0,0.687,153,83725.0,65.7,12809954.0
2025-09-14,S01,Pho Sunrise,6,1,0,0,0.385,136,90508.0,58.37,12309121.0
2025-09-15,S01,Pho Sunrise,0,0,0,1,0.619,119,78152.0,52.37,9300094.0
2025-09-16,S01,Pho Sunrise,1,0,0,1,0.43,135,84921.0,63.52,11464336.0
2025-09-17,S01,Pho Sunrise,2,0,0,0,0.414,123,83658.0,45.06,10289990.0
2025-09-18,S01,Pho Sunrise,3,0,0,0,0.549,105,82751.0,41.04,8688874.0
2025-09-19,S01,Pho Sunrise,4,0,0,0,0.391,103,87089.0,45.22,8970118.0
2025-09-20,S01,Pho Sunrise,5,1,0,0,0.0,141,89192.0,49.35,12576053.0
2025-09-21,S01,Pho Sunrise,6,1,0,0,0.144,160,82705.0,68.83,13232738.0
2025-09-22,S01,Pho Sunrise,0,0,0,0,0.747,116,86279.0,44.38,10008312.0
2025-09-23,S01,Pho Sunrise,1,0,0,0,0.228,126,84924.0,47.96,10700469.0
2025-09-24,S01,Pho Sunrise,2,0,0,1,0.573,149,79598.0,62.12,11860064.0
2025-09-25,S01,Pho Sunrise,3,0,0,0,0.004,126,87980.0,53.78,11085511.0
2025-09-26,S01,Pho Sunrise,4,0,0,0,0.752,124,87237.0,60.55,10817366.0
2025-09-27,S01,Pho Sunrise,5,1,0,0,0.22,152,86493.0,61.82,13146871.0
2025-09-28,S01,Pho Sunrise,6,1,0,0,0.842,132,82510.0,58.49,10891350.0
2025-09-29,S01,Pho Sunrise,0,0,0,0,0.329,137,80608.0,58.76,11043241.0
2025-09-30,S01,Pho Sunrise,1,0,0,0,0.473,121,83276.0,49.57,10076377.0
2025-10-01,S01,Pho Sunrise,2,0,0,0,0.304,142,79107.0,62.72,11233207.0
2025-10-02,S01,Pho Sunrise,3,0,0,0,0.455,113,89517.0,51.01,10115460.0
2025-10-03,S01,Pho Sunrise,4,0,0,0,0.077,148,86377.0,56.17,12783723.0
2025-10-04,S01,Pho Sunrise,5,1,0,0,0.453,147,85603.0,62.82,12583595.0
2025-10-05,S01,Pho Sunrise,6,1,0,0,0.625,98,83921.0,40.75,8224229.0
2025-10-06,S01,Pho Sunrise,0,0,0,0,0.399,145,81306.0,62.13,11789322.0
2025-10-07,S01,Pho Sunrise,1,0,0,0,0.246,152,83155.0,65.61,12639606.0
2025-10-08,S01,Pho Sunrise,2,0,0,0,0.752,127,84380.0,55.18,10716197.0
2025-10-09,S01,Pho Sunrise,3,0,0,0,0.617,119,84306.0,48.51,10032433.0
2025-10-10,S01,Pho Sunrise,4,0,0,0,0.519,129,87216.0,54.15,11250857.0
2025-10-11,S01,Pho Sunrise,5,1,0,0,0.296,174,79669.0,78.61,13862412.0
2025-10-12,S01,Pho Sunrise,6,1,0,0,0.21,177,88385.0,78.67,15644086.0
2025-10-13,S01,Pho Sunrise,0,0,0,0,0.337,130,86328.0,59.19,11222615.0
2025-10-14,S01,Pho Sunrise,1,0,0,0,0.198,147,88132.0,64.17,12955391.0
2025-10-15,S01,Pho Sunrise,2,0,0,0,0.326,121,82048.0,45.83,9927825.0
